City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
508,Angoche,-16.2325,39.9086,74.28,90,0,5.17,MZ,2022-01-29 00:51:53
509,Labuhan,-6.8844,112.2051,81.34,78,98,5.86,ID,2022-01-29 00:51:54
510,Belle Glade,26.6845,-80.6676,70.0,68,100,16.78,US,2022-01-29 00:51:54
511,Buchanan,5.8808,-10.0467,79.59,82,38,3.65,LR,2022-01-29 00:51:54
512,Port Keats,-14.25,129.55,83.55,79,100,14.74,AU,2022-01-29 00:51:55
513,Road Town,18.4167,-64.6167,77.04,78,40,5.75,VG,2022-01-29 00:51:43
514,Mackenzie,55.2999,-123.1698,32.22,59,100,9.22,CA,2022-01-29 00:51:55
515,Kaura Namoda,12.5898,6.5779,66.06,19,2,14.83,NG,2022-01-29 00:51:56
516,Brae,60.3964,-1.353,48.11,96,100,28.72,GB,2022-01-29 00:51:56
517,Esmeraldas,-19.7625,-44.3139,79.66,82,100,1.32,BR,2022-01-29 00:51:56
518,Cozumel,20.5083,-86.9458,75.99,81,43,11.01,MX,2022-01-29 00:51:57
519,Coari,-4.085,-63.1414,73.72,99,100,2.04,BR,2022-01-29 00:51:57
520,Arlit,18.7369,7.3853,60.62,16,0,7.07,NE,2022-01-29 00:51:58
521,Natal,-5.795,-35.2094,75.85,100,75,2.3,BR,2022-01-29 00:49:58
522,Upington,-28.4478,21.2561,77.38,23,0,3.44,ZA,2022-01-29 00:51:58
523,Opotiki,-38.0833,177.2833,74.39,54,13,8.61,NZ,2022-01-29 00:50:08
524,Karasjok,69.4719,25.5112,5.11,97,100,1.54,NO,2022-01-29 00:50:12
525,Praia Da Vitoria,38.7333,-27.0667,57.45,82,20,11.56,PT,2022-01-29 00:51:59
526,Barranca,-10.75,-77.7667,70.03,79,100,8.08,PE,2022-01-29 00:51:59
527,Boa Vista,2.8197,-60.6733,84.18,54,20,13.8,BR,2022-01-29 00:49:58
528,Ciudad Bolivar,8.1222,-63.5497,81.14,49,6,11.5,VE,2022-01-29 00:51:59
529,Bueno Brandao,-22.4408,-46.3508,63.3,97,100,2.26,BR,2022-01-29 00:52:00
530,Dumas,35.8656,-101.9732,49.35,15,0,0.0,US,2022-01-29 00:52:00
531,Novooleksiyivka,46.2269,34.6428,33.15,95,29,9.01,UA,2022-01-29 00:52:00
532,Fort-Shevchenko,44.5086,50.263,33.76,71,100,13.96,KZ,2022-01-29 00:52:01
533,Ushtobe,45.2514,77.9838,13.46,75,100,4.41,KZ,2022-01-29 00:52:01
534,Harnosand,62.6323,17.9379,32.0,73,100,17.58,SE,2022-01-29 00:52:02
535,Jinxiang,27.4327,120.6062,46.67,85,100,12.95,CN,2022-01-29 00:52:02
536,Bima,-8.4667,118.7167,82.54,80,94,1.41,ID,2022-01-29 00:52:02
537,Idenao,4.2475,9.0047,74.64,58,100,2.26,CM,2022-01-29 00:52:03
538,Giyani,-23.3025,30.7187,70.61,92,12,4.54,ZA,2022-01-29 00:52:03
539,Narok,-1.0783,35.8601,60.71,71,94,1.45,KE,2022-01-29 00:52:03
540,Corrales,35.2378,-106.6067,45.25,33,0,3.0,US,2022-01-29 00:52:04
541,Sobolevo,54.4299,31.8996,32.07,97,100,8.28,RU,2022-01-29 00:52:04
542,Siguiri,11.6667,-9.5,77.0,17,6,2.64,GN,2022-01-29 00:52:04
543,Sorland,67.667,12.6934,33.17,72,100,29.59,NO,2022-01-29 00:52:05
544,Kovur,14.4833,79.9833,70.0,86,32,6.78,IN,2022-01-29 00:52:05
545,Casablanca,33.5928,-7.6192,57.22,74,40,5.14,MA,2022-01-29 00:52:05
546,Lubu,23.1742,112.2809,60.91,66,100,3.67,CN,2022-01-29 00:52:06
547,Ganzhou,28.8184,115.4327,36.37,98,100,4.85,CN,2022-01-29 00:52:06
548,Broome,42.2506,-75.833,19.17,78,100,1.99,US,2022-01-29 00:52:06
549,Nouakchott,18.0858,-15.9785,67.93,66,100,13.71,MR,2022-01-29 00:52:07
550,Malakal,9.5334,31.6605,70.92,16,0,10.8,SS,2022-01-29 00:52:07
551,Sola,-13.8833,167.55,81.27,89,100,0.0,VU,2022-01-29 00:52:07
552,Emba,48.8264,58.1442,11.88,93,100,1.3,KZ,2022-01-29 00:52:08
553,Sheopur,25.6667,76.7,51.1,46,0,1.57,IN,2022-01-29 00:52:08
554,Shubarshi,48.5872,57.1869,13.37,94,100,1.66,KZ,2022-01-29 00:53:09
555,Pimenteiras,-6.2453,-41.4192,70.7,96,100,4.79,BR,2022-01-29 00:53:09
556,Azovo,54.6997,73.0237,-2.45,97,93,4.61,RU,2022-01-29 00:53:09
557,Minuri,16.535,121.8574,78.93,76,12,1.07,PH,2022-01-29 00:53:10
558,Constanza,47.6603,9.1758,35.73,84,100,1.99,DE,2022-01-29 00:53:10
559,Vila Franca Do Campo,37.7167,-25.4333,59.41,84,28,9.44,PT,2022-01-29 00:53:10
560,Clarence Town,-32.5833,151.7833,89.15,36,0,5.59,AU,2022-01-29 00:53:11
561,Souris,49.6172,-100.2612,12.74,97,100,4.56,CA,2022-01-29 00:53:11
562,Tromso,69.6496,18.957,23.02,80,20,1.01,NO,2022-01-29 00:53:11
563,Mapiripan,2.8892,-72.1256,79.86,38,100,5.44,CO,2022-01-29 00:53:12
